Ref,Val,Package,PosX,PosY,Rot,Side
"U9","DRV103","SOIC_8",-4.650000,-2.475000,180.000000,bottom
"C1","10uF","SM0805",2.500000,-4.225000,0.000000,top
"D1","DIODE_SCHOTTKY_45V_10A","CFP15",2.675000,-4.225000,180.000000,top
"L1","LED_GRN","LED0805",3.125000,-4.975000,0.000000,top
"L2","LED_GRN","LED0805",3.275000,-4.500000,0.000000,top
"L3","LED_GRN","LED0805",3.275000,-4.300000,0.000000,top
"L4","LED_GRN","LED0805",3.275000,-4.100000,0.000000,top
"L5","LED_GRN","LED0805",3.475000,-4.500000,0.000000,top
"L6","LED_GRN","LED0805",3.475000,-4.300000,0.000000,top
"L7","LED_GRN","LED0805",3.475000,-4.100000,0.000000,top
"L8","LED_GRN","LED0805",3.675000,-4.500000,0.000000,top
"L9","LED_GRN","LED0805",3.675000,-4.300000,0.000000,top
"L10","LED_GRN","LED0805",3.675000,-4.100000,0.000000,top
"SW1","SPDT_SLIDE_500A_SM","SPDT_SLIDE_500A_SM",3.475000,-5.100000,0.000000,top
